system,phase,filename,formation_energy_eV_per_atom,distance_to_hull_eV_per_atom,source_relative_path,sha256
CuSc,Cu5Sc1,struct_10705_3_relaxed.vasp,-0.20905160166666725,0.0,CuSc/Cu5Sc1/xyz2poscar/struct_10705_3_relaxed.vasp,e737a6c2565a71d2da7d37a4d811a99f63426ca41ac8e2df4438ebbe27b90e4d
CuTi,Cu1Ti1,struct_2692_2_relaxed.vasp,-0.16524821375000087,0.0,CuTi/Cu1Ti1/xyz2poscar/struct_2692_2_relaxed.vasp,1ea657516fb77fabf8a0ec1303a1d7ba62a9a6901b8d1a397c94b14b937210e3
CuTi,Cu1Ti2,struct_9004_3_relaxed.vasp,-0.12351738500000072,0.0,CuTi/Cu1Ti2/xyz2poscar/struct_9004_3_relaxed.vasp,524e696749da4fd5b956212a367d58ab84f255467e129dff2481877e674e36ca
CuTi,Cu2Ti1,struct_4490_2_relaxed.vasp,-0.1327955756249981,0.0,CuTi/Cu2Ti1/xyz2poscar/struct_4490_2_relaxed.vasp,e25b34b623b1a1745a0f29a5efaae5f328f84bbd2c56a389dbd1e8b292fb6e79
CuTi,Cu3Ti1,struct_11410_5_relaxed.vasp,-0.11431870140624856,0.0,CuTi/Cu3Ti1/xyz2poscar/struct_11410_5_relaxed.vasp,3e52b87bc0e52d00b18ee961605536b31aaa7b708026b749d704a91177ebdd87
CuY,Cu2Y3,struct_8449_7_relaxed.vasp,-0.8513505244999995,0.0,CuY/Cu2Y3/xyz2poscar/struct_8449_7_relaxed.vasp,13d02664e5e9b51596a008d3d30c95a09842f37f914298785ee80c19cb705351
IrTi,Ir1Ti1,struct_1393_4_relaxed.vasp,-0.8661313200000027,0.0,IrTi/Ir1Ti1/xyz2poscar/struct_1393_4_relaxed.vasp,1608095a92062e625ce40a09e6f1508c079805fe5dd0ba4a3cbc82f19a94ae4f
IrTi,Ir1Ti2,struct_2091_0_relaxed.vasp,-0.7079696404166652,0.0,IrTi/Ir1Ti2/xyz2poscar/struct_2091_0_relaxed.vasp,1bdfddf1a2b9140b365c41493a5ff691128f46356b58be8783903b719283f13e
IrTi,Ir1Ti3,struct_2601_0_relaxed.vasp,-0.5774210153124972,0.0,IrTi/Ir1Ti3/xyz2poscar/struct_2601_0_relaxed.vasp,c404342cff370a8bbee0b903828d56d51f83151b7b3be0bc619e09557aff93bf
IrTi,Ir2Ti1,struct_5018_6_relaxed.vasp,-0.7934308781250117,0.0,IrTi/Ir2Ti1/xyz2poscar/struct_5018_6_relaxed.vasp,65aee2c6d87673bc4c32d07ac0c7b31b58b968cfb8a0b7e6cd5967028bb9847f
IrTi,Ir3Ti1,struct_6162_5_relaxed.vasp,-0.715522644375012,0.0,IrTi/Ir3Ti1/xyz2poscar/struct_6162_5_relaxed.vasp,86c22cf9ebc2dc0eee48c41d62afc81458921cba8137d24535d260a461b77533
IrTi,Ir5Ti1,struct_15489_1_relaxed.vasp,-0.47742809666667874,0.0,IrTi/Ir5Ti1/xyz2poscar/struct_15489_1_relaxed.vasp,0f460b2d0d4ec6b90b796b5bf14ec4e9ece6379ca485f4f31a7d7b96193c1454
LiMg,Li1Mg7,struct_2297_8_relaxed.vasp,-0.02286566968750048,0.0008604549999999822,LiMg/Li1Mg7/xyz2poscar/struct_2297_8_relaxed.vasp,b559b4a138142772ddce43b4ced2e0bfe5683956f7610a09b2ed594ebc193a77
LiMg,Li1Mg7,struct_2467_1_relaxed.vasp,-0.02372612468750046,0.0,LiMg/Li1Mg7/xyz2poscar/struct_2467_1_relaxed.vasp,27437ad948e18cf1e2bc0ceec18a97ac2921d790a2e7a8d68dcded77b79f00e4
LiMg,Li2Mg5,struct_5244_5_relaxed.vasp,-0.04776544785714191,0.0,LiMg/Li2Mg5/xyz2poscar/struct_5244_5_relaxed.vasp,3a47d685e0c01f289b0f9e74c36b20e4f3f7bbe712d0e7d9afbf685e351b0a6e
LiMg,Li3Mg2,struct_3158_0_relaxed.vasp,-0.05624493874999992,0.0,LiMg/Li3Mg2/xyz2poscar/struct_3158_0_relaxed.vasp,cf48084a59f3f3fb4a03836083d5588df50f61a96a370bb62956d88ef1fb95ec
LiMg,Li3Mg4,struct_1907_1_relaxed.vasp,-0.06278474892857185,0.0,LiMg/Li3Mg4/xyz2poscar/struct_1907_1_relaxed.vasp,5e39107bd3bded9707b97f277c1db9233ada1bab6fb3cffcb40b0161cc16e123
LiMg,Li4Mg1,struct_3040_7_relaxed.vasp,-0.029342603499998888,0.0,LiMg/Li4Mg1/xyz2poscar/struct_3040_7_relaxed.vasp,6743c38f20ee6ab3ff1f05b057a0adafc6677ca768dc34c6aa55cb51b90ae2c3
LiMg,Li5Mg1,struct_1554_7_relaxed.vasp,-0.0238337891666666,0.0006183804166658043,LiMg/Li5Mg1/xyz2poscar/struct_1554_7_relaxed.vasp,104c7035478477dcac16331338b182614383d36b2960e82b27db5af238853b85
